doc_id,section_nr,section,paragraph_nr,sentence_nr,sentence,country,data_year
australia_2010,2,Federal leadership changes in 2010,1,1,The only important leadership change occurred at the very top.,Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,1,2,"On 24 June, the caucus of the governing Labor Party accepted the resignation of Kevin Rudd as leader and installed Julia Gillard without a vote being taken.",Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,1,3,"The resignation of Rudd, however, was forced by the fact that Gillard had issued a challenge to his leadership the previous day.",Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,1,4,"Rudd set the caucus meeting for the morning of Thursday, 24 June, but discovered overnight that he enjoyed so little support it was not worth putting his name forward.",Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,1,5,A total of 112 caucus members attended and it is worth speculating what the numbers would have been if there had been a contest.,Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,1,6,My estimate is that 90 votes would have been cast for Gillard and 22 for Rudd.,Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,1,7,"Rather than advertise the extent to which his support within the Labor Party had collapsed, Rudd decided to go without a contest.",Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,1,8,He immediately retired to the backbench and trivial changes were made to the cabinet pending the general election.,Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,1,9,"So Rudd was Prime Minister from 3 December 2007 to 24 June 2010 and he was then a private member until the full Gillard cabinet was sworn in on Tuesday, 14 September.",Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,1,10,After that he was Foreign Minister – a post he still holds.,Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,1,11,"On the afternoon of Saturday, 17 July, Gillard announced that the general election would be held on Saturday, 21 August.",Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,1,12,That meant there would be a five‐week campaign.,Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,1,13,The election would be for the House of Representatives and half the Senate (the normal type of Australian federal election) and not the double dissolution type of election I suggested as quite likely in this journal last year.,Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,1,14,"The dissolution of the 42nd House of Representatives occurred at noon on Monday, 19 July.",Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,2,15,The result of the election was that the Labor Government lost its majority in the House of Representatives but it remained the largest single party.,Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,2,16,"After some three weeks of negotiations with minor parties and independents, it was announced on Tuesday, 7 September, that the Gillard Government would continue as a minority government.",Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,2,17,Thus Julia Gillard became a so‐called ‘elected’ Prime Minister – as well as having the distinction of being Australia's first female Prime Minister.,Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,2,18,"She is unmarried and childless, but has a male partner who lives with her and is presented with her at official functions.",Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,2,19,She is Australia's 27th Prime Minister.,Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,3,20,There is a technical point about Australian elections that overseas readers may not understand.,Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,3,21,"Under our system of full preferential voting, a statement of first preference votes for the House of Representatives (such as in Table 1 above) sometimes does not give a meaningful interpretation of the popular vote.",Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,3,22,A much better guide is the so‐called ‘two‐party preferred vote’ which is counted out officially for information purposes.,Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,3,23,"At this election, the two‐party preferred vote was as follows: 6,216,445 votes for Labor (50.12 per cent) and 6,185,918 for Liberal‐National (49.88 per cent). At the 2007 election the percentages had been 52.70 for Labor and 47.30 for Liberal‐National.",Australia 2010,2010
australia_2010,2,Federal leadership changes in 2010,3,24,"Consequently, the swing in 2010 was 2.58 per cent (away from Labor and towards Liberal‐National).",Australia 2010,2010
australia_2010,3,Policy problems for Labor,1,1,"In my conclusion last year, referring to 2009, I wrote:",Australia 2010,2010
australia_2010,3,Policy problems for Labor,3,2,"At the end of the year, the Rudd Government was facing a dangerous opponent in the form of the new leader of the Liberal Party, Tony Abbott.",Australia 2010,2010
